medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-08-06,HIRAKI Cocona,JPN,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1902075
Bronze Medal,3,2024-08-06,Sky BROWN,GBR,W,Skateboarding,Women's Park,ATH,/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--,1544123
Gold Medal,1,2024-08-06,Mijain LOPEZ NUNEZ,CUB,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--,1571506
Silver Medal,2,2024-08-06,Yasmani ACOSTA FERNANDEZ,CHI,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--,1935199
Bronze Medal,3,2024-08-06,Amin MIRZAZADEH,IRI,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000100--,1544882
Bronze Medal,3,2024-08-06,MENG Lingzhe,CHN,M,Wrestling,Men's Greco-Roman 130kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000200--,1919983
Gold Medal,1,2024-08-06,FUMITA Kenichiro,JPN,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--,1939713
Silver Medal,2,2024-08-06,CAO Liguo,CHN,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--,1919973
Bronze Medal,3,2024-08-06,Zholaman SHARSHENBEKOV,KGZ,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000100--,1566631
Bronze Medal,3,2024-08-06,RI Se Ung,PRK,M,Wrestling,Men's Greco-Roman 60kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000200--,1980153
Gold Medal,1,2024-08-06,Amit ELOR,USA,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--,1955304
Silver Medal,2,2024-08-06,Meerim ZHUMANAZAROVA,KGZ,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--,1568241
Bronze Medal,3,2024-08-06,Buse CAVUSOGLU TOSUN,TUR,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000100--,1570415
Bronze Medal,3,2024-08-06,OZAKI Nonoka,JPN,W,Wrestling,Women's Freestyle 68kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000200--,1939709
Gold Medal,1,2024-08-07,China,CHN,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---CHN01
Silver Medal,2,2024-08-07,United States,USA,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---USA01
Bronze Medal,3,2024-08-07,Spain,ESP,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,SWAWTEAM8---ESP01
Gold Medal,1,2024-08-07,MARTIN A/PEREZ M,ESP,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTESP02
Silver Medal,2,2024-08-07,PINTADO B/MOREJON G,ECU,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTECU01
Bronze Medal,3,2024-08-07,COWLEY R/MONTAG J,AUS,X,Athletics,Marathon Race Walk Relay Mixed,TEAM,/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--,ATHX42KWALKTAUS01
Gold Medal,1,2024-08-07,Soufiane EL BAKKALI,MAR,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1555372
Silver Medal,2,2024-08-07,Kenneth ROOKS,USA,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1965896
Bronze Medal,3,2024-08-07,Abraham KIBIWOT,KEN,M,Athletics,Men's 3000m Steeplechase,ATH,/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--,1910445
Gold Medal,1,2024-08-07,Quincy HALL,USA,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1960177
Silver Medal,2,2024-08-07,Matthew HUDSON-SMITH,GBR,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1924430
Bronze Medal,3,2024-08-07,Muzala SAMUKONGA,ZAM,M,Athletics,Men's 400m,ATH,/en/paris-2024/results/athletics/men-s-400m/fnl-000100--,1937531
Gold Medal,1,2024-08-07,Roje STONA,JAM,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1912322
Silver Medal,2,2024-08-07,Mykolas ALEKNA,LTU,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1922593
Bronze Medal,3,2024-08-07,Matthew DENNY,AUS,M,Athletics,Men's Discus Throw,ATH,/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--,1939824
Gold Medal,1,2024-08-07,Nina KENNEDY,AUS,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1939839
Silver Medal,2,2024-08-07,Katie MOON,USA,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1965268
Bronze Medal,3,2024-08-07,Alysha NEWMAN,CAN,W,Athletics,Women's Pole Vault,ATH,/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--,1974216
Bronze Medal,3,2024-08-07,Nelvie Raman TIAFACK,GER,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000100--,1895903
Bronze Medal,3,2024-08-07,Djamili-Dini ABOUDOU MOINDZE,FRA,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000200--,1879120
Gold Medal,1,2024-08-07,Erislandy ALVAREZ BORGES,CUB,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--,1555537
Silver Medal,2,2024-08-07,Sofiane OUMIHA,FRA,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--,1879111
Gold Medal,1,2024-08-07,Oleksandr KHYZHNIAK,UKR,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--,1564362
Silver Medal,2,2024-08-07,Nurbek ORALBAY,KAZ,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--,1932824
Bronze Medal,3,2024-08-07,Esra YILDIZ KAHRAMAN,TUR,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/sfnl000100--,1568204
Bronze Medal,3,2024-08-07,Nesthy PETECIO,PHI,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/sfnl000200--,1979904
Gold Medal,1,2024-08-07,Australia,AUS,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4AUS01
Silver Medal,2,2024-08-07,Great Britain,GBR,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4GBR01
Bronze Medal,3,2024-08-07,Italy,ITA,M,Cycling Track,Men's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------,CTRMPURTEAM4ITA01
Gold Medal,1,2024-08-07,United States,USA,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4USA01
Silver Medal,2,2024-08-07,New Zealand,NZL,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4NZL01
Bronze Medal,3,2024-08-07,Great Britain,GBR,W,Cycling Track,Women's Team Pursuit,TEAM,/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------,CTRWPURTEAM4GBR01
Gold Medal,1,2024-08-07,Matt WEARN,AUS,M,Sailing,Men's Dinghy,ATH,/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--,1945990
Silver Medal,2,2024-08-07,Pavlos KONTIDES,CYP,M,Sailing,Men's Dinghy,ATH,/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--,1905347
Bronze Medal,3,2024-08-07,Stefano PESCHIERA,PER,M,Sailing,Men's Dinghy,ATH,/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--,1944316
Gold Medal,1,2024-08-07,Marit BOUWMEESTER,NED,W,Sailing,Women's Dinghy,ATH,/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--,1970500
Silver Medal,2,2024-08-07,Anne-Marie RINDOM,DEN,W,Sailing,Women's Dinghy,ATH,/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--,1895121
Bronze Medal,3,2024-08-07,Line Flem HOEST,NOR,W,Sailing,Women's Dinghy,ATH,/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--,1878602
Gold Medal,1,2024-08-07,Keegan PALMER,AUS,M,Skateboarding,Men's Park,ATH,/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--,1946074
Silver Medal,2,2024-08-07,Tom SCHAAR,USA,M,Skateboarding,Men's Park,ATH,/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--,1944247
Bronze Medal,3,2024-08-07,Augusto AKIO,BRA,M,Skateboarding,Men's Park,ATH,/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--,1955669
Gold Medal,1,2024-08-07,Aleksandra MIROSLAW,POL,W,Sport Climbing,Women's Speed,ATH,/en/paris-2024/results/sport-climbing/women-s-speed/------------,1563327
Silver Medal,2,2024-08-07,DENG Lijuan,CHN,W,Sport Climbing,Women's Speed,ATH,/en/paris-2024/results/sport-climbing/women-s-speed/------------,1913702
Bronze Medal,3,2024-08-07,Aleksandra KALUCKA,POL,W,Sport Climbing,Women's Speed,ATH,/en/paris-2024/results/sport-climbing/women-s-speed/------------,1563321
Gold Medal,1,2024-08-07,PARK Taejoon,KOR,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/fnl-000100--,1904040
Silver Medal,2,2024-08-07,Gashim MAGOMEDOV,AZE,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/fnl-000100--,1946883
Bronze Medal,3,2024-08-07,Cyrian RAVET,FRA,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/repf000100--,1893274
Bronze Medal,3,2024-08-07,Mohamed Khalil JENDOUBI,TUN,M,Taekwondo,Men -58kg,HATH,/en/paris-2024/results/taekwondo/men--58kg/repf000200--,1947736
Gold Medal,1,2024-08-07,Panipak WONGPATTANAKIT,THA,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--,1902841
Silver Medal,2,2024-08-07,GUO Qing,CHN,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--,1910372
Bronze Medal,3,2024-08-07,Mobina NEMATZADEH,IRI,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/repf000100--,1536064
Bronze Medal,3,2024-08-07,Lena STOJKOVIC,CRO,W,Taekwondo,Women -49kg,HATH,/en/paris-2024/results/taekwondo/women--49kg/repf000200--,1569986
Gold Medal,1,2024-08-07,LI Fabin,CHN,M,Weightlifting,Men's 61kg,ATH,/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--,1918372
Silver Medal,2,2024-08-07,Theerapong SILACHAI,THA,M,Weightlifting,Men's 61kg,ATH,/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--,1898059
Bronze Medal,3,2024-08-07,Hampton MORRIS,USA,M,Weightlifting,Men's 61kg,ATH,/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--,1917153
Gold Medal,1,2024-08-07,HOU Zhihui,CHN,W,Weightlifting,Women's 49kg,ATH,/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--,1918377
Silver Medal,2,2024-08-07,Mihaela Valentina CAMBEI,ROU,W,Weightlifting,Women's 49kg,ATH,/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--,1550148
Bronze Medal,3,2024-08-07,Surodchana KHAMBAO,THA,W,Weightlifting,Women's 49kg,ATH,/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--,1898024
Gold Medal,1,2024-08-07,KUSAKA Nao,JPN,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,1939692
Silver Medal,2,2024-08-07,Demeu ZHADRAYEV,KAZ,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,1958652
Bronze Medal,3,2024-08-07,Malkhas AMOYAN,ARM,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000100--,1532873
Bronze Medal,3,2024-08-07,Akzhol MAKHMUDOV,KGZ,M,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000200--,1566627
Gold Medal,1,2024-08-07,Mohammadhadi SARAVI,IRI,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,1544897
Silver Medal,2,2024-08-07,Artur ALEKSANYAN,ARM,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,1532872
Bronze Medal,3,2024-08-07,Gabriel Alejandro ROSILLO KINDELAN,CUB,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000100--,1571504
Bronze Medal,3,2024-08-07,Uzur DZHUZUPBEKOV,KGZ,M,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000200--,1566601
Gold Medal,1,2024-08-07,Sarah Ann HILDEBRANDT,USA,W,Wrestling,Women's Freestyle 50kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--,1955373
Silver Medal,2,2024-08-07,Yusneylis GUZMAN LOPEZ,CUB,W,Wrestling,Women's Freestyle 50kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--,1571747
Bronze Medal,3,2024-08-07,SUSAKI Yui,JPN,W,Wrestling,Women's Freestyle 50kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-50kg/repf000100--,1939712
Bronze Medal,3,2024-08-07,FENG Ziqi,CHN,W,Wrestling,Women's Freestyle 50kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-50kg/repf000200--,1920000
Gold Medal,1,2024-08-08,Grant HOLLOWAY,USA,M,Athletics,Men's 110m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-110m-hurdles/fnl-000100--,1960961
Silver Medal,2,2024-08-08,Daniel ROBERTS,USA,M,Athletics,Men's 110m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-110m-hurdles/fnl-000100--,1965223
Bronze Medal,3,2024-08-08,Rasheed BROADBELL,JAM,M,Athletics,Men's 110m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-110m-hurdles/fnl-000100--,1901251
Gold Medal,1,2024-08-08,Letsile TEBOGO,BOT,M,Athletics,Men's 200m,ATH,/en/paris-2024/results/athletics/men-s-200m/fnl-000100--,1936983
Silver Medal,2,2024-08-08,Kenneth BEDNAREK,USA,M,Athletics,Men's 200m,ATH,/en/paris-2024/results/athletics/men-s-200m/fnl-000100--,1960659
Bronze Medal,3,2024-08-08,Noah LYLES,USA,M,Athletics,Men's 200m,ATH,/en/paris-2024/results/athletics/men-s-200m/fnl-000100--,1960173
Gold Medal,1,2024-08-08,Arshad NADEEM,PAK,M,Athletics,Men's Javelin Throw,ATH,/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--,1878563
Silver Medal,2,2024-08-08,Neeraj CHOPRA,IND,M,Athletics,Men's Javelin Throw,ATH,/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--,1550250
Bronze Medal,3,2024-08-08,Anderson PETERS,GRN,M,Athletics,Men's Javelin Throw,ATH,/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--,1573418
Gold Medal,1,2024-08-08,Sydney McLAUGHLIN-LEVRONE,USA,W,Athletics,Women's 400m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-400m-hurdles/fnl-000100--,1965308
Silver Medal,2,2024-08-08,Anna COCKRELL,USA,W,Athletics,Women's 400m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-400m-hurdles/fnl-000100--,1960581
Bronze Medal,3,2024-08-08,Femke BOL,NED,W,Athletics,Women's 400m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-400m-hurdles/fnl-000100--,1972078
Gold Medal,1,2024-08-08,Tara DAVIS-WOODHALL,USA,W,Athletics,Women's Long Jump,ATH,/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--,1960711
Silver Medal,2,2024-08-08,Malaika MIHAMBO,GER,W,Athletics,Women's Long Jump,ATH,/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--,1920175
Bronze Medal,3,2024-08-08,Jasmine MOORE,USA,W,Athletics,Women's Long Jump,ATH,/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--,1965250
Gold Medal,1,2024-08-08,Hasanboy DUSMATOV,UZB,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/fnl-000100--,1556045
Silver Medal,2,2024-08-08,Billal BENNAMA,FRA,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/fnl-000100--,1879110
Bronze Medal,3,2024-08-08,Charlie SENIOR,AUS,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/sfnl000100--,1940136
Bronze Medal,3,2024-08-08,Javier IBANEZ DIAZ,BUL,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/sfnl000200--,1555185
Gold Medal,1,2024-08-08,CHANG Yuan,CHN,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/fnl-000100--,1926832
Silver Medal,2,2024-08-08,Hatice AKBAS,TUR,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/fnl-000100--,1568186
Bronze Medal,3,2024-08-08,Caitlin PARKER,AUS,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/sfnl000100--,1940134
Bronze Medal,3,2024-08-08,Cindy Winner DJANKEU NGAMBA,EOR,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/sfnl000200--,1894537
Gold Medal,1,2024-08-08,LIU/JI,CHN,M,Canoe Sprint,Men's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------,CSPMC2-500M-CHN01
Silver Medal,2,2024-08-08,CASADEI/TACCHINI,ITA,M,Canoe Sprint,Men's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------,CSPMC2-500M-ITA01
Bronze Medal,3,2024-08-08,MORENO/DOMINGUEZ,ESP,M,Canoe Sprint,Men's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------,CSPMC2-500M-ESP01
Gold Medal,1,2024-08-08,Germany,GER,M,Canoe Sprint,Men's Kayak Four 500m,TEAM,/en/paris-2024/results/canoe-sprint/men-s-kayak-four-500m/fnl---------,CSPMK4-500M-GER01
Silver Medal,2,2024-08-08,Australia,AUS,M,Canoe Sprint,Men's Kayak Four 500m,TEAM,/en/paris-2024/results/canoe-sprint/men-s-kayak-four-500m/fnl---------,CSPMK4-500M-AUS01
Bronze Medal,3,2024-08-08,Spain,ESP,M,Canoe Sprint,Men's Kayak Four 500m,TEAM,/en/paris-2024/results/canoe-sprint/men-s-kayak-four-500m/fnl---------,CSPMK4-500M-ESP01
Gold Medal,1,2024-08-08,New Zealand,NZL,W,Canoe Sprint,Women's Kayak Four 500m,TEAM,/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------,CSPWK4-500M-NZL01
Silver Medal,2,2024-08-08,Germany,GER,W,Canoe Sprint,Women's Kayak Four 500m,TEAM,/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------,CSPWK4-500M-GER01
Bronze Medal,3,2024-08-08,Hungary,HUN,W,Canoe Sprint,Women's Kayak Four 500m,TEAM,/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------,CSPWK4-500M-HUN01
Gold Medal,1,2024-08-08,Benjamin THOMAS,FRA,M,Cycling Track,Men's Omnium,ATH,/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--,1895717
Silver Medal,2,2024-08-08,Iuri LEITAO,POR,M,Cycling Track,Men's Omnium,ATH,/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--,1933816
Bronze Medal,3,2024-08-08,Fabio van den BOSSCHE,BEL,M,Cycling Track,Men's Omnium,ATH,/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--,1915370
Gold Medal,1,2024-08-08,Ellesse ANDREWS,NZL,W,Cycling Track,Women's Keirin,ATH,/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------,1945040
Silver Medal,2,2024-08-08,Hetty van de WOUW,NED,W,Cycling Track,Women's Keirin,ATH,/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------,1969180
Bronze Medal,3,2024-08-08,Emma FINUCANE,GBR,W,Cycling Track,Women's Keirin,ATH,/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------,1912522
Gold Medal,1,2024-08-08,XIE Siyi,CHN,M,Diving,Men's 3m Springboard,ATH,/en/paris-2024/results/diving/men-s-3m-springboard/fnl-000100--,1901550
Silver Medal,2,2024-08-08,WANG Zongyuan,CHN,M,Diving,Men's 3m Springboard,ATH,/en/paris-2024/results/diving/men-s-3m-springboard/fnl-000100--,1901549
Bronze Medal,3,2024-08-08,Osmar OLVERA IBARRA,MEX,M,Diving,Men's 3m Springboard,ATH,/en/paris-2024/results/diving/men-s-3m-springboard/fnl-000100--,1535349
Bronze Medal,3,2024-08-08,Morocco,MAR,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000200--,FBLMTEAM11--MAR01
Gold Medal,1,2024-08-08,Netherlands,NED,M,Hockey,Men,HTEAM,/en/paris-2024/results/hockey/men/fnl-000100--,HOCMTEAM11--NED01
Silver Medal,2,2024-08-08,Germany,GER,M,Hockey,Men,HTEAM,/en/paris-2024/results/hockey/men/fnl-000100--,HOCMTEAM11--GER01
Bronze Medal,3,2024-08-08,India,IND,M,Hockey,Men,HTEAM,/en/paris-2024/results/hockey/men/fnl-000200--,HOCMTEAM11--IND01
Gold Medal,1,2024-08-08,Sharon van ROUWENDAAL,NED,W,Marathon Swimming,Women's 10km,ATH,/en/paris-2024/results/marathon-swimming/women-s-10km/fnl-000100--,1972515
Silver Medal,2,2024-08-08,Moesha JOHNSON,AUS,W,Marathon Swimming,Women's 10km,ATH,/en/paris-2024/results/marathon-swimming/women-s-10km/fnl-000100--,1945588
Bronze Medal,3,2024-08-08,Ginevra TADDEUCCI,ITA,W,Marathon Swimming,Women's 10km,ATH,/en/paris-2024/results/marathon-swimming/women-s-10km/fnl-000100--,1925804
Gold Medal,1,2024-08-08,VADLAU/MAEHR,AUT,X,Sailing,Mixed Dinghy,TEAM,/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--,SALX470-----AUT01
Silver Medal,2,2024-08-08,OKADA/YOSHIOKA,JPN,X,Sailing,Mixed Dinghy,TEAM,/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--,SALX470-----JPN01
Bronze Medal,3,2024-08-08,DAHLBERG/KARLSSON,SWE,X,Sailing,Mixed Dinghy,TEAM,/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--,SALX470-----SWE01
Gold Medal,1,2024-08-08,TITA/BANTI,ITA,X,Sailing,Mixed Multihull,TEAM,/en/paris-2024/results/sailing/mixed-multihull/fnl-000100--,SALXNACRA17-ITA01
Silver Medal,2,2024-08-08,MAJDALANI/BOSCO,ARG,X,Sailing,Mixed Multihull,TEAM,/en/paris-2024/results/sailing/mixed-multihull/fnl-000100--,SALXNACRA17-ARG01
Bronze Medal,3,2024-08-08,WILKINSON/DAWSON,NZL,X,Sailing,Mixed Multihull,TEAM,/en/paris-2024/results/sailing/mixed-multihull/fnl-000100--,SALXNACRA17-NZL01
Gold Medal,1,2024-08-08,Eleanor ALDRIDGE,GBR,W,Sailing,Women's Kite,ATH,/en/paris-2024/results/sailing/women-s-kite/fnl-000200--,1899728
Silver Medal,2,2024-08-08,Lauriane NOLOT,FRA,W,Sailing,Women's Kite,ATH,/en/paris-2024/results/sailing/women-s-kite/fnl-000200--,1559512
Bronze Medal,3,2024-08-08,Annelous LAMMERTS,NED,W,Sailing,Women's Kite,ATH,/en/paris-2024/results/sailing/women-s-kite/fnl-000200--,1970517
Gold Medal,1,2024-08-08,Veddriq LEONARDO,INA,M,Sport Climbing,Men's Speed,ATH,/en/paris-2024/results/sport-climbing/men-s-speed/------------,1940329
Silver Medal,2,2024-08-08,WU Peng,CHN,M,Sport Climbing,Men's Speed,ATH,/en/paris-2024/results/sport-climbing/men-s-speed/------------,1913699
Bronze Medal,3,2024-08-08,Sam WATSON,USA,M,Sport Climbing,Men's Speed,ATH,/en/paris-2024/results/sport-climbing/men-s-speed/------------,1950309
Gold Medal,1,2024-08-08,Ulugbek RASHITOV,UZB,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--,1887714
Silver Medal,2,2024-08-08,Zaid KAREEM,JOR,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--,1537401
Bronze Medal,3,2024-08-08,LIANG Yushuai,CHN,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/repf000100--,1910367
Bronze Medal,3,2024-08-08,Edival PONTES,BRA,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/repf000200--,1955815
Gold Medal,1,2024-08-08,KIM Yujin,KOR,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--,1904038
Silver Medal,2,2024-08-08,Nahid KIYANICHANDEH,IRI,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--,1536067
Bronze Medal,3,2024-08-08,Skylar PARK,CAN,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/repf000100--,1966505
